iter	Passed	Remaining
0	33	33964
1	35	17767
2	36	12282
3	38	9471
4	38	7750
5	39	6617
6	41	5819
7	42	5313
8	45	4955
9	47	4710
10	49	4406
11	50	4122
12	51	3875
13	51	3659
14	52	3470
15	53	3306
16	54	3170
17	55	3048
18	57	2986
19	59	2897
20	60	2801
21	62	2767
22	63	2699
23	64	2621
24	65	2545
25	66	2480
26	67	2417
27	67	2357
28	68	2299
29	69	2245
30	70	2194
31	71	2148
32	71	2107
33	72	2070
34	74	2058
35	75	2025
36	77	2024
37	79	2002
38	80	1981
39	81	1956
40	82	1938
41	84	1924
42	85	1901
43	86	1876
44	87	1855
45	88	1833
46	89	1811
47	90	1793
48	91	1782
49	92	1764
50	93	1745
51	94	1726
52	95	1709
53	96	1692
54	97	1680
55	99	1669
56	100	1655
57	101	1640
58	101	1624
59	102	1612
60	104	1601
61	107	1619
62	108	1608
63	109	1598
64	110	1588
65	112	1585
66	113	1575
67	114	1565
68	115	1555
69	116	1545
70	117	1534
71	118	1525
72	120	1529
73	122	1530
74	123	1522
75	124	1513
76	125	1505
77	126	1498
78	127	1491
79	129	1484
80	130	1477
81	131	1470
82	131	1456
83	133	1454
84	135	1460
85	137	1464
86	139	1460
87	140	1454
88	141	1446
89	142	1439
90	143	1431
91	144	1422
92	145	1414
93	146	1408
94	147	1401
95	148	1395
96	149	1388
97	151	1393
98	152	1387
99	153	1385
100	154	1379
101	155	1372
102	156	1366
103	157	1361
104	159	1357
105	160	1351
106	161	1345
107	162	1340
108	163	1334
109	164	1333
110	166	1335
111	167	1331
112	168	1326
113	170	1322
114	171	1317
115	172	1312
116	173	1305
117	174	1301
118	175	1297
119	176	1292
120	177	1287
121	177	1280
122	181	1295
123	183	1293
124	184	1288
125	184	1283
126	186	1279
127	187	1274
128	188	1270
129	189	1266
130	190	1261
131	191	1258
132	192	1253
133	193	1249
134	195	1255
135	198	1259
136	199	1257
137	201	1257
138	202	1255
139	203	1251
140	204	1246
141	205	1240
142	206	1236
143	207	1233
144	208	1229
145	213	1248
146	214	1245
147	215	1241
148	216	1236
149	217	1231
150	218	1226
151	219	1223
152	220	1218
153	221	1214
154	222	1210
155	223	1207
156	226	1216
157	228	1218
158	229	1215
159	230	1212
160	231	1206
161	232	1203
162	233	1199
163	234	1195
164	235	1192
165	236	1189
166	242	1207
167	243	1207
168	246	1212
169	247	1209
170	248	1205
171	249	1202
172	251	1200
173	252	1199
174	253	1196
175	256	1200
176	258	1200
177	262	1211
178	264	1211
179	266	1212
180	267	1209
181	274	1233
182	275	1229
183	276	1225
184	277	1221
185	278	1217
186	278	1212
187	279	1207
188	280	1204
189	281	1200
190	282	1196
191	283	1192
192	284	1189
193	286	1192
194	288	1189
195	289	1186
196	290	1182
197	291	1179
198	292	1176
199	293	1173
200	294	1171
